CountryName,CountryCode,StartDate,EndDate,PolicyType,PolicyValue,Flag,InitialNote
Barbados,BRB,20210203,20210228,C2: Workplace closing,3,1,"All non-essential workplaces are to be closed during ""National Pause"" between the 3rd February until the 17th February 2021.    https://web.archive.org/web/20210207205308/https://gisbarbados.gov.bb/download/official-gazette-february-1-2021-part-a-no-14/  https://web.archive.org/web/20210207191256/https://gisbarbados.gov.bb/blog/highlights-of-curfew-directives-from-feb-3-to-17/  https://web.archive.org/web/20210207205600/https://gisbarbados.gov.bb/blog/essential-services-only-during-national-pause/"
Barbados,BRB,20210203,20210510,H6: Facial Coverings,3,1,"Face masks now required in all public spaces.    https://web.archive.org/web/20210207205308/https://gisbarbados.gov.bb/download/official-gazette-february-1-2021-part-a-no-14/  https://web.archive.org/web/20210207191256/https://gisbarbados.gov.bb/blog/highlights-of-curfew-directives-from-feb-3-to-17/"
Barbados,BRB,20210210,20210213,V1: Vaccine Prioritisation,1,,"The programme began by targeting frontline workers. This was followed up by selecting the most vulnerable citizens to be offered the vaccine. These include persons in the over-70 age group, followed by persons aged 18-69 with co-morbidities. Barbadians have responded enthusiastically to the invitation to be vaccinated.  Barbados expects to soon receive another batch of vaccinations, as part of the World Health Organisation’s COVAX programme, and is in negotiations with the Government of India to purchase another 100,000 doses.  https://web.archive.org/web/20211005010931/https://www.unctad15.bb/barbados-covid-19-vaccination-programme-making-good-progress/    Tourism sector workers  https://web.archive.org/web/20211005005439/https://www.travelweekly.com/Caribbean-Travel/Barbados-steps-up-Covid-19-vaccination-efforts  "
Barbados,BRB,20210210,20210306,V2: Vaccine Availability,1,,"10 Feb 2021, vaccine campaign in Barbados begins:   As members of the public flocked to polyclinics across the island to receive their first jab, Minister of Health and Wellness, Jeffrey Bostic is urging persons to wait their turn.   The Health Minister warned that Government will be only high-risk groups, will be receiving the Oxford Astrazeneca vaccine in the coming days.   ""I have instructed the polyclinics and testing centres that immediately the only persons who should be coming to those installations for vaccines are persons who are 70 and over, persons who are over 16 and have chronic NCDs,"" he said.   ""Those persons will receive a telephone call after registering from the moh and vaccine committee and those persons will be told exactly where and when to receive their vaccines,"" Bostic further explained.   Minister Bostic revealed that as of Tuesday, February 16, over 6, 000 persons had been vaccinated since the national vaccination programme launched on Wednesday, February 10. Government has mandated that frontline workers, senior citizens and persons with non-communicable diseases (NCDs) will be the first to receive the vaccine.     https://archive.ph/elSaQ"
Barbados,BRB,20210210,20210306,V3: Vaccine Financial Support,5,,"Ms. Mottley added that it was Government’s desire to have more vaccines available in the country to facilitate more people, whether they are citizens or not, being vaccinated by the end of April or early May.  To facilitate that process, she noted that Government was able to settle different supplies of vaccines in addition to the 100,000, which it received from India last week.  https://archive.vn/mHago#selection-1883.0-1883.195"
Barbados,BRB,20210210,20211231,V4: Mandatory Vaccination,0,,"N/A"
Barbados,BRB,20210214,20210306,V1: Vaccine Prioritisation,1,,"The programme began by targeting frontline workers. This was followed up by selecting the most vulnerable citizens to be offered the vaccine. These include persons in the over-70 age group, followed by persons aged 18-69 with co-morbidities. Barbadians have responded enthusiastically to the invitation to be vaccinated.  Barbados expects to soon receive another batch of vaccinations, as part of the World Health Organisation’s COVAX programme, and is in negotiations with the Government of India to purchase another 100,000 doses.  https://web.archive.org/web/20211005010931/https://www.unctad15.bb/barbados-covid-19-vaccination-programme-making-good-progress/    Tourism sector workers  https://web.archive.org/web/20211005005439/https://www.travelweekly.com/Caribbean-Travel/Barbados-steps-up-Covid-19-vaccination-efforts    "
Barbados,BRB,20210216,20210216,H7: Vaccination policy,1,1,"A  Frontline workers are being vaccinated in Barbados beginning on February 10th. They will be receiving the Oxford Astra Zeneca vaccine.  sources: https://archive.vn/elSaQ  https://archive.vn/mHago"
Barbados,BRB,20210217,20210425,H7: Vaccination policy,3,1,"A,B,C  Vaccines available to those above 70 years and those age 18-69 with non-communicable diseases beginning February 17th. Frontline workers were initially the only group receiving the vaccine. The Oxford Astra Zeneca vaccine is being administered.  source: https://archive.vn/bamSy  https://archive.vn/wT0Qo"
Barbados,BRB,20210301,20210327,C2: Workplace closing,2,1,"""Effective March 1, several nonessential businesses that were previously ordered to close, may reopen including in the food, manufacturing, cleaning, professional services, construction, delivery services, and financial sectors, subject to health protocols.""  source: https://archive.vn/KE5Ce"
